Metabolic Function	Gene Name
Energy Metabolism	KCNJ11
Energy Metabolism	PRKAR1A
Energy Metabolism	PRKAR1B
Energy Metabolism	PRKAR2A
Energy Metabolism	PRKAR2B
Energy Metabolism	PRKACA
Energy Metabolism	PRKACB
Energy Metabolism	PRKACG
Energy Metabolism	PRKCA
Energy Metabolism	PKLR
Energy Metabolism	MARCKS
Energy Metabolism	MLX
Energy Metabolism	PPP2CA
Energy Metabolism	PPP2CB
Energy Metabolism	PLCB1
Energy Metabolism	PLCB2
Energy Metabolism	PLCB3
Energy Metabolism	AGPAT1
Energy Metabolism	RAP1A
Energy Metabolism	AHCYL1
Energy Metabolism	STK11
Energy Metabolism	SYT5
Energy Metabolism	TALDO1
Energy Metabolism	TKT
Energy Metabolism	VAMP2
Energy Metabolism	MLXIPL
Energy Metabolism	ADIPOR1
Energy Metabolism	ADIPOR2
Energy Metabolism	GNG2
Energy Metabolism	ADRA2C
Energy Metabolism	CACNA2D2
Energy Metabolism	ARL2BP
Energy Metabolism	CACNA1C
Energy Metabolism	GLP1R
Energy Metabolism	AKAP5
Energy Metabolism	KCNS3
Energy Metabolism	IQGAP1
Energy Metabolism	KCNB1
Energy Metabolism	KCNG2
Energy Metabolism	GNB5
Energy Metabolism	RAPGEF3
Energy Metabolism	SNAP25
Energy Metabolism	STXBP1
Energy Metabolism	CACNA1D
Energy Metabolism	ABCC8
Energy Metabolism	ACACA
Energy Metabolism	ITPR2
Energy Metabolism	ITPR1
Energy Metabolism	PPP2R5D
Energy Metabolism	STX1A
Energy Metabolism	RAPGEF4
Energy Metabolism	KCNC2
Lipid Metabolism	HSD3B1
Lipid Metabolism	HSD3B2
Lipid Metabolism	AP2A1
Lipid Metabolism	AP2A2
Lipid Metabolism	AP2B1
Lipid Metabolism	AP2M1
Lipid Metabolism	A2M
Lipid Metabolism	AP2S1
Lipid Metabolism	PRKAA2
Lipid Metabolism	PRKAB2
Lipid Metabolism	PRKAG2
Lipid Metabolism	ABCB11
Lipid Metabolism	ABCA1
Lipid Metabolism	ABCG5
Lipid Metabolism	ABCG8
Lipid Metabolism	DBI
Lipid Metabolism	ACADL
Lipid Metabolism	ACADM
Lipid Metabolism	ACADS
Lipid Metabolism	ACADVL
Lipid Metabolism	ACHE
