Tumorname	Name	MBIIscore
BLCA	BLCA-A6TG-01A	0.239346575
BLCA	BLCA-A6TH-01A	0.117562939
BLCA	BLCA-A6TI-01A	0.131459583
BLCA	BLCA-A6TK-01A	0.426437524
BLCA	BLCA-A3Z7-01A	0.171522878
BLCA	BLCA-A3Z9-01A	0.107274249
BLCA	BLCA-A3ZE-01A	0.035931973
BLCA	BLCA-A3ZF-01A	0.052407983
BLCA	BLCA-A871-01A	0.072296404
BLCA	BLCA-A3EE-01A	0.21555016
BLCA	BLCA-A61P-01A	0.26264754
BLCA	BLCA-A2EC-01A	0.286323883
BLCA	BLCA-A2EF-01A	0.25314335
BLCA	BLCA-A2EJ-01A	0.395041262
BLCA	BLCA-A2EK-01A	0.310219233
BLCA	BLCA-A2EL-01A	0.040042858
BLCA	BLCA-A2EO-01A	0.31864574
BLCA	BLCA-A2ES-01A	0.330335698
BLCA	BLCA-A3IB-01A	0.087293126
BLCA	BLCA-A3IE-01A	0.186864643
BLCA	BLCA-A3VY-01A	0.048072164
BLCA	BLCA-AA3B-01A	0.160305693
BLCA	BLCA-AA3C-01A	0.413852867
BLCA	BLCA-AA3D-01A	0.260747056
BLCA	BLCA-AA3F-01A	0.11915553
BLCA	BLCA-A3BM-01A	0.06312073
BLCA	BLCA-A3I6-01A	0.173926408
BLCA	BLCA-A3OO-01A	0.378833278
BLCA	BLCA-A3RB-01A	0.104852642
BLCA	BLCA-A3RC-01A	0.165406824
BLCA	BLCA-A3RD-01A	0.170109957
BLCA	BLCA-A3WC-01A	0.468092024
BLCA	BLCA-A3YS-01A	0.188466954
BLCA	BLCA-A4ZW-01A	0.055186062
BLCA	BLCA-A6I1-01A	0.505582676
BLCA	BLCA-A6I3-01A	0.410349829
BLCA	BLCA-A2C5-01A	0.155386876
BLCA	BLCA-A3OP-01A	0.228852794
BLCA	BLCA-A3OQ-01A	0.092896642
BLCA	BLCA-A3OS-01A	0.294651276
BLCA	BLCA-A6C6-01A	0.059758293
BLCA	BLCA-A76B-01A	0.42153513
BLCA	BLCA-A42P-01A	0.048920902
BLCA	BLCA-A42Q-01A	0.420297713
BLCA	BLCA-A42R-01A	0.142871737
BLCA	BLCA-A762-01A	0.432349175
BLCA	BLCA-A763-01A	0.054312888
BLCA	BLCA-A764-01A	0.504123539
BLCA	BLCA-A766-01A	0.480916689
BLCA	BLCA-A767-01A	0.18012557
BLCA	BLCA-AATO-01A	0.231590468
BLCA	BLCA-AATP-01A	0.115273587
BLCA	BLCA-AATQ-01A	0.122668383
BLCA	BLCA-A3JV-01A	0.180333297
BLCA	BLCA-A3JW-01A	0.047649042
BLCA	BLCA-A3JX-01A	0.110579233
BLCA	BLCA-A3JZ-01A	0.083568176
BLCA	BLCA-A3QF-01A	0.360582626
BLCA	BLCA-A3QG-01A	0.463157242
BLCA	BLCA-A3QH-01A	0.212922146
BLCA	BLCA-A3QI-01A	0.024789984
BLCA	BLCA-A3QK-01B	0.248902501
BLCA	BLCA-A40E-01A	0.296468492
BLCA	BLCA-A40G-01A	0.035585045
BLCA	BLCA-A6ZA-01A	0.163108332
BLCA	BLCA-A2HO-01A	0.212382958
BLCA	BLCA-A2HQ-01A	0.06276086
BLCA	BLCA-A2OE-01A	0.104720806
BLCA	BLCA-A2OF-01A	0.026470635
BLCA	BLCA-A5ND-01A	0.215645502
BLCA	BLCA-A5NE-01A	0.187313356
BLCA	BLCA-A3WS-01A	0.345639093
BLCA	BLCA-A3WU-01B	0.436713168
BLCA	BLCA-A3WV-01A	0.143518571
BLCA	BLCA-A4AB-01B	0.133113226
BLCA	BLCA-A4AC-01A	0.429238424
